id,internal_id,title_abbreviation,address,price,price_per_unit_area,size_with_square_meter,construction_year,levels,bedrooms,bathrooms,date,extraction_date,geo_lat,geo_lng,company_title,account_id,ad_group_id,url,dimos,perioxi,type,area,price_per_area,level_list,min_level,level_length,temp_no,temp_date_unit,days_passed
814557783,47120375,Διαμέρισμα 115 τ.μ.,Αθήνα (Άγιος Ιωάννης),650.0,6,115 τ.μ.,1990.0,['1'],2.0,2.0,πριν από 1 εβδομάδα,2023-06-01,37.95829672944085,23.7355593325346,,1827553.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814557783/athhna-agios-iwannhs-650-115,Αθήνα,Άγιος Ιωάννης,Διαμέρισμα,115.0,5.6521739130434785,[1.0],1.0,1,1,εβ,7
814292282,47107921,Διαμέρισμα 100 τ.μ.,Αθήνα (Άγιος Σώστης),850.0,9,100 τ.μ.,1980.0,['3'],2.0,1.0,πριν από 1 εβδομάδα,2023-06-01,37.95587163774508,23.71884914907871,,1871383.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814292282/athhna-agios-swsths-850-100,Αθήνα,Άγιος Σώστης,Διαμέρισμα,100.0,8.5,[3.0],3.0,1,1,εβ,7
815020701,47139710,Διαμέρισμα 30 τ.μ.,Αθήνα (Λόφος Λαμπράκη),300.0,10,30 τ.μ.,,['0.5'],1.0,,πριν από 2 ημέρες,2023-06-01,37.960167,23.732866,,,,https://www.xe.gr/property/d/enoikiaseis-katoikion/815020701/athhna-lofos-lamprakh-300-30,Αθήνα,Λόφος Λαμπράκη,Διαμέρισμα,30.0,10.0,[0.5],0.5,1,2,ημ,2
814445453,47116334,Διαμέρισμα 32 τ.μ.,Αθήνα (Άγιος Ελευθέριος),320.0,10,32 τ.μ.,1975.0,['4'],1.0,1.0,πριν από 1 εβδομάδα,2023-06-01,38.01787297263766,23.728189081859984,,2019171.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814445453/athhna-agios-eleytherios-320-32,Αθήνα,Άγιος Ελευθέριος,Διαμέρισμα,32.0,10.0,[4.0],4.0,1,1,εβ,7
813952038,47088533,Διαμέρισμα 56 τ.μ.,Αθήνα (Ηπείρου),580.0,10,56 τ.μ.,1970.0,['3'],1.0,1.0,πριν από 2 εβδομάδες,2023-06-01,37.99021870143649,23.72950500269635,,431854.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/813952038/athhna-hpeiroy-580-56,Αθήνα,Ηπείρου,Διαμέρισμα,56.0,10.357142857142858,[3.0],3.0,1,2,εβ,14
814829727,47133080,Διαμέρισμα 90 τ.μ.,Αθήνα (Βαρνάβα),600.0,7,90 τ.μ.,,['0.5'],,,πριν από 4 ημέρες,2023-06-01,37.9664759180432,23.742204249826017,,314505.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814829727/athhna-varnava-600-90,Αθήνα,Βαρνάβα,Διαμέρισμα,90.0,6.666666666666667,[0.5],0.5,1,4,ημ,4
814865627,47133719,Διαμέρισμα 72 τ.μ.,Αθήνα (Τρεις Γέφυρες),700.0,10,72 τ.μ.,2010.0,['6'],2.0,,πριν από 3 ημέρες,2023-06-01,38.015472,23.724995,,2069420.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814865627/athhna-treis-gefyres-700-72,Αθήνα,Τρεις Γέφυρες,Διαμέρισμα,72.0,9.722222222222221,[6.0],6.0,1,3,ημ,3
814505719,47118683,Διαμέρισμα 80 τ.μ.,Αθήνα (Πλατεία Αμερικής),550.0,7,80 τ.μ.,1969.0,['1'],2.0,1.0,πριν από 1 εβδομάδα,2023-06-01,38.003321,23.727729,Rizos Realty,1730441.0,455415.0,https://www.xe.gr/property/d/enoikiaseis-katoikion/814505719/athhna-plateia-amerikhs-550-80,Αθήνα,Πλατεία Αμερικής,Διαμέρισμα,80.0,6.875,[1.0],1.0,1,1,εβ,7
814894217,47133729,Διαμέρισμα 54 τ.μ.,Αθήνα (Παγκράτι),450.0,8,54 τ.μ.,,['1'],1.0,,πριν από 3 ημέρες,2023-06-01,37.96738091895793,23.748604442757003,,,,https://www.xe.gr/property/d/enoikiaseis-katoikion/814894217/athhna-pagkrati-450-54,Αθήνα,Παγκράτι,Διαμέρισμα,54.0,8.333333333333334,[1.0],1.0,1,3,ημ,3
813384158,46962828,Διαμέρισμα 78 τ.μ.,Αθήνα (Αλεπότρυπα),590.0,8,78 τ.μ.,1973.0,['1'],2.0,1.0,πριν από 2 μήνες,2023-06-01,38.009861,23.741393,Access Properties ,1956020.0,,https://www.xe.gr/property/d/enoikiaseis-katoikion/813384158/athhna-alepotrypa-590-78,Αθήνα,Αλεπότρυπα,Διαμέρισμα,78.0,7.564102564102564,[1.0],1.0,1,2,μή,60
